,COMPANY,BUSINESS_IN_FORCE_NEW_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_NEW_SUM_INSURED,BUSINESS_IN_FORCE_NEW_PREMIUMS,BUSINESS_IN_FORCE_TOTAL_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_TOTAL_SUM_INSURED,BUSINESS_IN_FORCE_TOTAL_PREMIUMS,YEARS,GROSS_DIRECT_PREMIUM,INWARD_REINSURANCE,OUTWARD_REINSURANCE,NET_PREMIUM_WRITTEN,UPR_B/F,UNEXPIRED_RISK_RESERVE_(B/F),UPR_C/F,UNEXPIRED_RISK_RESERVE_(B/F).1,NET_EARNED_PREMIUM_INCOME,INCURRED_CLAIMS,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,UNDERWRITING_PROFIT/(LOSS),INVESTMENT_INCOME,PROFIT_TRANSFERRED_TO_P&L,NET_PAID_CLAIMS_AVIATION,NET_PAID_CLAIMS_ENGINEERING,NET_PAID_CLAIMS_FIRE_DOMESTIC,NET_PAID_CLAIMS_FIRE_INDUSTRIAL,NET_PAID_CLAIMS_LIABILITY,NET_PAID_CLAIMS_MARINE,NET_PAID_CLAIMS_MOTOR_PRIVATE,NET_PAID_CLAIMS_MOTOR_COMMERCIAL,NET_PAID_CLAIMS_MOTOR_COMMERCIAL_PSV,NET_PAID_CLAIMS_PERSONAL_ACCIDENT,NET_PAID_CLAIMS_THEFT,NET_PAID_CLAIMS_WORKMENS'_COMPENSATION,NET_PAID_CLAIMS_MEDICAL,NET_PAID_CLAIMS_MISCELLANEOUS,NET_PAID_CLAIMS_TOTAL,SHARE_CAPITAL,SHARE_PREMIUM,REVALUATION_RESERVES,STATUTORY_RESERVES,RETAINED_EARNINGS,OTHER_RESERVES,TOTAL_EQUITY,UNDERWRITING_PROVISIONS,ACTUARIAL_CONTRACT_LIABILITIES,LONGTERM_LIABILITIES,CURRENT_LIABILITIES,TOTAL_EQUITY_AND_LIABILITIES,LAND_AND_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,GOVERNMENT_SECURITIES,OTHER_SECURITIES,INVESTMENT_IN_RELATED_COMPANIES,CORPORATE_BONDS,COMMERCIAL_PAPERS,DEBENTURES,ORDINARY_SHARES_QUOTED,ORDINARY_SHARES_UNQUOTED,PREFERENCE_SHARES_QUOTED,PREFERENCE_SHARES_UNQUOTED,LOANS_SECURED_&_UNSECURED,MORTGAGES,TERM_DEPOSITS,CASH_AND_CASH_BALANCES,OUTSTANDING_PREMIUMS,OTHER_RECEIVABLES,OTHER_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,NET_EARNED_PREMIUM_AVIATION,NET_EARNED_PREMIUM_ENGINEERING,NET_EARNED_PREMIUM_FIRE_DOMESTIC,NET_EARNED_PREMIUM_FIRE_INDUSTRIAL,NET_EARNED_PREMIUM_LIABILITY,NET_EARNED_PREMIUM_MARINE,NET_EARNED_PREMIUM_MOTOR_PRIVATE,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL_PSV,NET_EARNED_PREMIUM_PERSONAL_ACCIDENT,NET_EARNED_PREMIUM_THEFT,NET_EARNED_PREMIUM_WORKMENS'_COMPENSATION,NET_EARNED_PREMIUM_MEDICAL,NET_EARNED_PREMIUM_MISCELLANEOUS,NET_EARNED_PREMIUM_TOTAL,INCURRED_CLAIMS_AVIATION,INCURRED_CLAIMS_ENGINEERING,INCURRED_CLAIMS_FIRE_DOMESTIC,INCURRED_CLAIMS_FIRE_INDUSTRIAL,INCURRED_CLAIMS_LIABILITY,INCURRED_CLAIMS_MARINE,INCURRED_CLAIMS_MOTOR_PRIVATE,INCURRED_CLAIMS_MOTOR_COMMERCIAL,INCURRED_CLAIMS_MOTOR_COMMERCIAL_PSV,INCURRED_CLAIMS_PERSONAL_ACCIDENT,INCURRED_CLAIMS_THEFT,INCURRED_CLAIMS_WORKMENS'_COMPENSATION,INCURRED_CLAIMS_MEDICAL,INCURRED_CLAIMS_MISCELLANEOUS,INCURRED_CLAIMS_TOTAL,BUSINESS_IN_FORCE_NEW_SUMS_INSURED,BUSINESS_IN_FORCE_TOTAL_SUMS_INSURED,UNNAMED:_1
109,AFRICAN MERCHANT ASSURANCE COMPANY LTD,"79,702","1,617,876,348,519",,"236,612","4,654,021,903,356",,2016,"3,145,060","17,188","665,843","2,496,405","909,325",0,"1,078,654",0,"2,327,076","1,308,710","155,379","1,092,920","-229,933","174,122","-55,810",0,640,"1,946",0,"3,612","2,572","534,853","187,864","372,898","87,297","14,167","33,069",0,"20,394","1,259,312","987,386",0,0,0.0,"523,650","15,156","1,526,192","2,173,439",0.0,0,"269,502","3,969,134","729,066","525,000","134,973","490,086",0,0,"16,362",0,0.0,"20,370",0,0.0,0.0,"19,736",0,"541,378","84,041","1,179,009","46,634","169,080","13,398","3,969,134",0,"150,766","5,227","153,117","7,328","4,706","869,543","710,000","28,696","210,142","27,501","107,866",0,"52,184","2,327,076",0,"21,520","1,477","35,382","4,170",808,"577,788","82,783","334,829","145,361","17,548","62,716",0,"24,326","1,308,710",,,
110,AIG INSURANCE COMPANY LTD,"32,471","335,880,977,294",,"66,468","1,204,718,361,523",,2016,"3,588,476","81,463","1,416,352","2,253,588","890,118",0,"772,460",0,"2,371,245","1,409,497","91,362","712,240","158,146",0,"158,146","4,621","1,095","47,957","52,742","63,664","9,161","752,569","230,079",0,"185,811","14,870","19,332",0,"-3,672","1,378,229","450,000",0,"-12,197",0.0,"1,215,782","250,000","1,903,585","1,661,978",0.0,0,"640,821","4,206,384",0,"510,000","56,277","2,619,527",0,0,0,0,0.0,0,0,0.0,0.0,"16,418",0,"204,762","55,993","421,551","89,880","182,901","49,074","4,206,384",816,"43,521","122,715","49,811","482,221","13,832","930,306","329,578",0,"394,658","-3,296","6,995",0,89,"2,371,245","9,057","1,246","55,445","54,684","214,179","6,741","811,558","169,438",0,"198,763","9,771","17,075",0,"-138,459","1,409,497",,,
111,ALLIANZ INSURANCE COMPANY OF KENYA,377,"35,319,358,636",,377,"35,319,358,636",,2016,"63,060",0,"32,429","30,631",0,0,"25,729",0,"4,902","5,238","1,371","182,153","-183,860","93,853","-90,008",0,0,0,557,0,0,682,0,0,0,0,0,0,0,"1,240","1,000,000",0,0,0.0,"-27,606",0,"972,394","29,728",0.0,0,"70,168","1,072,290",0,0,"37,288","97,520",0,0,0,0,0.0,0,0,0.0,0.0,0,0,"726,264","97,251","22,381",0,"70,461","21,125","1,072,290",6,"-1,020","1,376","2,195",433,41,947,173,0,22,172,558,0,0,"4,902",2,40,456,658,"2,721",5,994,89,0,13,62,199,0,0,"5,238",,,
112,APA INSURANCE LTD,"60,775","510,437,583,896",,"119,397","1,578,480,233,249",,2016,"8,995,974",0,"2,481,008","6,514,966","3,204,141",0,"2,467,639",0,"7,251,469","5,244,122","638,025","1,496,678","-127,355",0,"-127,355",0,"49,108","23,653","45,313","74,021","44,650","1,192,180","1,046,170",0,"41,341","96,546","221,986","1,466,535","33,850","4,335,353","1,250,000",0,0,0.0,"3,618,038","394,980","5,263,018","8,260,637",0.0,0,"804,057","14,327,712",0,"1,225,000","105,198","6,548,144",0,"597,913","280,278","11,484",0.0,"1,488,887","25,734",0.0,0.0,"57,047","49,832","990,747","39,724","2,337,588","100,118","236,097","233,921","14,327,712",776,"54,271","63,405","139,048","73,642","144,109","1,663,913","2,072,030",0,"107,588","157,033","647,476","1,892,988","235,191","7,251,469",241,"59,376","21,417","75,626","27,426","6,538","1,580,295","1,298,632",0,"77,491","83,015","576,472","1,387,518","50,075","5,244,122",,,
113,BRITAM GENERAL INSURANCE,"68,902","219,806,117,131",,"136,439","773,703,461,261",,2016,"6,945,612","51,614","983,122","6,014,104","3,040,464","148,841","2,530,765","98,165","6,574,479","3,780,621","672,195","2,170,113","-48,449","679,257","630,808",0,"34,258","47,303","65,545","8,542","10,824","1,046,213","821,603",0,"51,967","56,960","57,135","1,357,237","357,299","3,914,887","2,668,000",0,0,0.0,"246,958",0,"2,914,958","5,604,168",0.0,0,"950,252","9,469,378","42,271",0,"159,323","3,914,543","385,385",0,"519,756",0,0.0,"414,284","8,675",0.0,0.0,0,0,"832,369","581,749","1,195,462","284,602","367,409","763,549","9,469,378",0,"52,167","88,957","170,816","41,649","89,580","1,302,775","1,429,802",0,"523,595","170,284","213,224","1,868,921","622,709","6,574,479",0,"40,792","49,387","11,971",557,"-13,481","958,497","848,206",0,"25,536","117,747","17,128","1,369,543","354,737","3,780,621",,,
114,CANNON ASSURANCE LTD,"18,244","164,819,197,067",,"49,997","363,061,560,211",,2016,"1,701,541","24,035","408,938","1,316,637","348,114","58,665","558,806","105,413","1,059,198","838,433","154,286","428,788","-362,309",0,"-362,309",0,"33,851","-6,946","41,419","16,539","28,132","357,318","234,226",0,"-9,931","12,807","51,413",0,"4,542","763,370","300,000",0,0,0.0,"32,810",0,"332,810","1,623,398",0.0,0,"378,159","2,334,367","105,000","270,000","41,006","553,288",0,"30,000","29,672",0,0.0,"251,758","299,720",0.0,0.0,"12,287","33,940","76,205","19,024","336,517","171,473","36,087","68,390","2,334,367",0,"20,499","13,992","34,860","14,521","30,839","347,209","264,124","134,173","22,199","40,693","115,384",0,"20,705","1,059,198",0,"5,086","3,913","16,802","20,283","37,234","460,918","288,022",0,"12,760","22,412","25,061",0,"-54,057","838,433",,,
115,CIC GENERAL INSURANCE LTD,"57,989","1,661,990,195,477",,"175,269","33,598,013,353,000",,2016,"8,407,498",0,"956,313","7,451,186","2,827,370",0,"3,366,626",0,"6,911,930","4,521,575","755,766","2,257,517","-622,928","622,649",-279,0,"86,717","16,943","195,708","-332,868","17,130","1,479,065","1,236,417",0,"58,842","116,487","77,782","801,541","41,264","3,795,029","1,700,000",0,0,0.0,"2,379,581","-91,173","3,988,408","7,359,333",0.0,0,"634,539","11,982,281","229,000","1,536,000","259,232","2,110,120","510,940",0,"235,828","25,390",0.0,"356,222","19,776",0.0,0.0,"191,948","144,850","1,326,440","381,207","3,593,850","342,023","237,656","481,798","11,982,281",0,"38,389","92,078","260,080","52,349","96,130","1,973,899","2,441,195",0,"170,668","393,633","247,262","962,650","183,595","6,911,930",0,"94,946","15,265","142,854","137,193","60,672","1,757,167","1,419,571",0,"64,643","120,351","142,094","526,486","40,333","4,521,575",,,
116,COPORATE INSURANCE COMPANY,"2,652","25,739,456,134",,"9,403","82,060,299,207",,2016,"299,866","12,749","3,741","308,874","115,724",0,"111,255",0,"313,343","150,133","24,755","175,775","-37,319","65,242","27,922","5,826","2,524",293,"7,662",0,"9,762","53,861","41,870",0,15,140,"4,933",0,8,"126,894","400,000",0,0,0.0,"526,734",0,"926,734","299,095",0.0,0,"101,797","1,327,626",0,"800,000","3,935","169,550",0,0,0,0,0.0,"1,259","1,001",0.0,0.0,"2,722",0,"17,745","4,609","259,985","30,198","21,883","14,739","1,327,626",0,"15,234","12,616","-8,825","32,301","21,241","89,164","60,963",0,"22,093","44,225","18,871",0,"5,461","313,343","5,798","2,507",334,"7,235",30,"15,061","71,369","47,767",0,-972,"-3,308","6,979",0,"-2,668","150,133",,,
117,DIRECTLINE ASSURANCE,"75,722","7,516,130,000",,"325,920","7,516,130,000",,2016,"3,224,740",0,"79,756","3,144,984","791,135",0,"904,419",0,"3,031,700","1,787,823","301,961","958,922","-17,006",0,"-17,006",0,0,0,0,0,0,"18,021","5,968","1,457,927",0,0,0,0,0,"1,481,916","300,000",0,"-106,911",0.0,"731,479",0,"924,568","4,163,453",0.0,0,"88,060","5,176,081",0,"2,066,550",0,"972,055",0,"14,500",0,0,0.0,"118,372",0,0.0,0.0,"2,000",0,"312,350","1,396,305",0,0,"203,508","90,442","5,176,081",0,0,0,0,0,0,"67,865","19,556","2,944,279",0,0,0,0,0,"3,031,700",0,0,0,0,0,0,"33,861","12,345","1,741,617",0,0,0,0,0,"1,787,823",,,
118,FIDELITY SHIELD INSURANCE COMPANY LTD,"9,312","1,103,962,837,737",,"24,584","2,905,663,275,242",,2016,"1,674,182","43,145","410,052","1,307,275","493,386",0,"498,708",0,"1,301,954","770,109","128,309","393,895","9,641",0,"9,641",0,"2,676","10,043","23,507",677,"19,363","239,454","236,278","14,160","3,060","15,952","74,198",0,946,"640,313","600,000",0,"105,672",0.0,"461,593",0,"1,167,266","1,493,015",0.0,0,"103,245","2,763,526","274,034","1,121,766","33,296","234,751",0,0,0,0,0.0,"90,590",0,0.0,0.0,"5,666","26,240","150,465","80,016","557,570",0,"122,209","66,922","2,763,526",13,"7,124","21,034","66,219","10,165","43,855","397,709","494,016","18,965","13,531","51,262","169,943",0,"8,117","1,301,954",6,"-1,515","11,095","28,589","16,042","20,073","255,931","289,500","16,486","4,522","26,784","102,679",0,-82,"770,109",,,
119,FIRST ASSURANCE COMPANY LTD,"10,972","616,533,415,937",,"21,450","849,179,021,870",,2016,"3,831,052","99,900","1,753,296","2,177,656","918,772",0,"753,348",0,"2,343,080","1,964,664","127,405","693,880","-442,869",0,"-442,869",0,"41,583","21,804","49,028","20,567","40,362","497,126","397,624",0,"8,761","37,800","109,940","565,598","11,582","1,801,776","660,000","512,139","244,357",0.0,"811,994",0,"2,228,489","2,233,046",0.0,0,"687,748","5,149,283","338,000","1,385,000","19,878","826,806",0,"52,929","56,229",0,0.0,"33,626",0,0.0,0.0,"17,666",0,"1,312,494","71,461","638,587","15,976","333,520","47,111","5,149,283",964,"47,882","35,614","104,395","46,013","56,546","543,984","548,090",58,"80,011","66,393","162,287","618,444","32,400","2,343,080",123,"38,669","24,468","54,495","42,508","18,568","523,573","433,851",0,"10,946","46,208","172,011","579,848","19,397","1,964,664",,,
120,GA LIFE ASSURANCE LIMITED,"23,855","439,040,772,537",,"50,015","1,020,198,560,578",,2016,"4,707,811","74,273","2,338,025","2,444,059","994,752",0,"1,006,666",0,"2,432,144","1,436,525","73,727","632,444","289,448","450,350","739,798",0,"35,347","30,379","43,236","7,314","59,771","249,513","318,236","-74,562","5,316","137,961","274,752","202,781","4,370","1,294,415","700,000",0,"829,766",0.0,"1,089,453","224,093","2,843,312","4,245,563",0.0,0,"1,458,770","8,547,646","1,152,000","1,396,070","29,098","2,050,772",0,"356,109","269,515","10,162",0.0,"343,998","208,806",0.0,0.0,"211,637",0,"756,893","52,413","1,295,766","6,928","65,338","342,141","8,547,646",667,"57,028","67,081","131,236","60,167","128,352","400,910","442,030","55,228","50,996","284,777","444,319","261,667","47,687","2,432,144",-51,"27,472","27,023","55,800","6,262","35,551","423,053","410,825","-74,362","-2,290","126,016","188,395","208,647","4,183","1,436,525",,,
121,GEMINIA INSURANCE COMPANY LTD,"4,681","92,577,610,814",,"17,545","301,077,506,262",,2016,"2,212,122","11,028","382,688","1,840,462","553,561",0,"866,012",0,"1,528,011","931,039","183,818","393,050","20,104","209,820","229,924",0,"6,464","10,632","50,944","1,698","45,860","313,228","283,574",0,"9,936","65,644","69,180",0,4,"857,163","550,000",0,"578,992",0.0,"441,141","97,951","1,668,084","2,134,456",0.0,"1,904","265,259","4,069,704","19,206","973,000","34,841","817,200",0,0,"24,300",0,0.0,"132,563","6,849",0.0,0.0,"98,098",0,"819,635","124,806","463,454","15,997","538,577","1,179","4,069,704",0,"11,477","31,521","74,424","15,354","105,602","462,643","484,025",0,"17,822","97,895","214,682",0,"12,566","1,528,011",0,"7,276","11,043","23,659","-1,010","62,905","371,693","266,360",0,"9,440","71,703","107,624",0,346,"931,039",,,
122,HERITAGE INSURANCE COMPANY KENYA LTD,0,0,,0,0,,2016,"5,326,894","13,285","2,263,053","3,077,126","1,193,420",0,"1,208,120",0,"3,062,426","1,355,302","63,702","1,239,266","404,156","483,851","888,007",0,"6,932","34,657","48,743","-10,502","18,027","436,840","311,478",0,"49,420","13,819","74,621","217,454","16,298","1,217,788","500,000",0,0,0.0,"2,024,681",0,"2,524,681","2,793,259",0.0,0,"619,083","5,937,023",0,"14,563","103,448","2,662,602",0,"121,369","190,770",0,0.0,"97,826",0,0.0,0.0,"48,703","262,860","820,653","54,914","1,246,035","50,965","226,648","35,669","5,937,023","10,847","44,010","130,221","129,449","126,836","58,589","718,826","631,458","26,934","270,996","107,155","346,660","347,851","112,594","3,062,426","1,293","12,331","49,340","40,535","-2,761","23,373","497,962","311,168","8,704","57,546","1,154","115,937","196,736","41,984","1,355,302",,,
123,ICEA LION GENERAL INSURANCE COMPANY LTD,"22,882","849,565,065,062",,"56,239","2,555,529,016,954",,2016,"6,218,767","85,820","2,466,937","3,837,650","1,360,135",0,"1,373,209",0,"3,824,576","2,310,662","344,071","1,028,123","141,720",0,"141,720","2,350","13,484","31,862","68,496","14,785","54,294","814,000","427,636",0,"84,001","79,144","147,183","205,475","1,093","1,943,806","1,000,000",0,"174,133",0.0,"2,146,660","150,000","3,470,793","4,490,912",0.0,"471,116","1,264,625","9,697,446",0,"2,640,000","141,592","4,100,655","41,647","50,147","264,948",0,0.0,"755,877","12,339",0.0,0.0,"24,028",0,"270,223","24,346","768,509","137,829","197,399","267,907","9,697,446","6,085","21,616","114,091","200,626","35,206","133,211","1,408,486","787,337",0,"168,774","213,359","399,603","331,381","4,799","3,824,576","1,258","2,599","49,970","27,559","23,567","90,370","991,454","407,889",0,"121,828","106,037","272,841","214,581",708,"2,310,662",,,
124,INTRA-AFRICA INSURANCE COMPANY LTD,"10,367","78,137,632,771",,"22,247","164,798,954,212",,2016,"996,133","18,127","154,066","860,194","314,323",0,"379,991",0,"794,526","460,382","57,587","268,870","7,686","19,900","27,586",0,"15,649","15,541","24,926","3,042","30,191","175,326","101,462",0,"27,226","46,986","44,782",0,"5,747","490,878","400,000",0,"328,452",0.0,"87,108","7,500","823,060","864,732",0.0,0,"66,415","1,754,207","133,120","294,260","21,004","227,146",0,0,0,0,0.0,"58,786",0,0.0,0.0,"11,947","12,733","263,904","31,342","559,882","99,183","2,728","38,171","1,754,207",0,"24,908","17,585","37,321","5,818","59,663","254,959","178,864",0,"17,197","40,692","127,451",0,"30,069","794,526",0,"19,949","14,202","24,437","4,792","27,949","198,234","98,861",0,"26,359","38,972","6,772",0,-146,"460,382",,,
125,INVESCO ASSURANCE COMPANY LTD,"40,446","4,575,380,460",,"77,276","6,593,132,950",,2016,"2,300,894",0,"60,476","2,240,419","387,475",0,"321,883",0,"2,306,011","974,272","234,479","1,093,109","4,150",0,"4,150",0,0,"3,885",0,0,0,"104,691","81,567","814,040",49,0,459,0,0,"1,004,691","1,680,000",0,508,0.0,"-1,336,363",0,"344,144","2,443,284",0.0,"139,720","176,638","3,103,786","74,533","1,178,480","59,298","176,000",0,0,0,0,0.0,"2,580",0,0.0,0.0,0,0,"165,860","315,930","404,337","272,490",0,"454,276","3,103,786",0,119,175,"-2,422",50,924,"158,820","91,467","2,055,241","1,036",235,361,0,3,"2,306,011",0,3,"-1,413","2,458",-3,-5,"111,036","149,852","710,589",913,1,841,0,0,"974,272",,,
126,JUBILEE INSURANCE COMPANY,"21,871","520,631,876,447",,"51,617","1,676,373,577,503",,2016,"13,781,583","307,715","3,824,990","10,264,308","3,350,928",0,"4,134,666",0,"9,480,569","6,711,739","784,927","1,780,367","203,536","614,322","817,858",0,"27,292","19,128","72,450","6,896","33,693","1,162,701","310,481",0,"394,631","109,971","67,148","4,545,294","27,242","6,776,928","2,000,000",0,"21,912",0.0,"3,530,573",0,"5,552,485","6,840,193",0.0,0,"1,490,783","13,883,461",0,0,"54,800","2,961,418",0,"1,706,099","21,477",0,0.0,"1,339,466","583,636",432.0,0.0,"15,674","77,641","1,139,242","96,770","4,445,435","753,335","323,135","364,901","13,883,461","16,478","37,277","53,537","302,642","118,820","90,196","1,360,405","680,867",0,"485,761","156,754","117,860","6,022,270","37,702","9,480,569",999,"7,205","12,863","66,787","-38,875","21,033","1,061,144","273,840",0,"383,417","99,901","44,246","4,793,935","-14,754","6,711,739",,,
127,KENINDIA ASSURANCE COMPANY LTD,"10,106","388,669,117,266",,"23,814","1,134,048,397,315",,2016,"2,910,583","85,377","1,115,062","1,880,898","694,487",0,"737,705",0,"1,837,681","1,241,484","144,174","576,847","-124,823","352,721","227,898",0,"19,669","27,474","78,771","8,560","69,848","194,452","331,051",0,"11,859","66,148","289,529","89,737",230,"1,187,328","400,000","1,198","-11,542",0.0,"1,858,986","329,573","2,578,215","2,425,794",0.0,"101,039","2,434,352","7,539,400","679,758","1,094,468","76,526","2,208,864",0,"81,905","52,780","41,082",0.0,"46,148","122,779",0.0,0.0,440,0,"505,889","34,765","1,811,358",0,"735,034","47,605","7,539,400",0,"19,193","36,646","122,919","25,922","225,420","320,221","475,275",0,"16,379","96,842","392,333","100,266","6,265","1,837,681",0,"26,336","29,080","107,020","15,046","51,775","210,556","321,164",0,"9,678","75,259","306,459","88,879",231,"1,241,484",,,
128,KENYA ORIENT INSURANCE COMPANY,"49,031","73,426,459,533",,"86,442","144,521,007,768",,2016,"2,480,669","44,896","248,444","2,277,121","1,093,495",0,"1,081,841",0,"2,288,776","1,299,515","184,842","671,738","132,681","56,337","189,018",0,"5,572","7,646","16,472","14,257",732,"628,868","581,577",0,"2,814","4,351","13,423",0,"2,817","1,278,530","810,721",0,"191,942",0.0,"-160,259","50,000","892,403","1,753,905",0.0,"107,307","264,683","3,018,299","77,122","429,152","50,816","170,453",0,"170,000","5,252",0,0.0,"5,922","859,050",0.0,0.0,0,0,"68,293","17,982","774,396","31,532","200,129","158,201","3,018,299",0,"20,491","20,817","38,663","38,954","13,280","943,003","1,077,383",0,"12,040","18,761","72,307",0,"33,075","2,288,776",0,"5,435","6,155","18,330","27,639","-51,652","487,522","772,180",-148,"3,042","13,380","15,738",0,"1,893","1,299,515",,,
129,MADISON INSURANCE COMPANY LTD,"20,243","42,528,414,928",,"57,028","9,767,535,925,959",,2016,"3,102,440",0,"159,692","2,942,749","1,041,059",0,"1,215,887",0,"2,767,921","2,067,558","283,505","674,670","-257,812","255,798","-2,014",0,"3,155","2,165","9,805","17,896",29,"377,446","484,755",0,"35,522","3,808","12,889","677,313","17,278","1,642,062","300,000",0,0,0.0,"761,937",0,"1,061,937","1,976,753",0.0,0,"184,506","3,223,196",0,"712,000","47,419","576,247",0,0,"16,584",0,0.0,"9,992","367,793",0.0,0.0,0,0,"140,657","10,529","1,039,201","124,584","32,729","145,459","3,223,196",0,"40,794","25,240","37,306","91,874","2,761","618,484","941,938",0,"22,328","25,646","45,749","731,677","184,124","2,767,921",0,"4,469","2,513","11,798","41,000","3,462","630,134","550,434",0,"34,898","6,591","15,191","752,721","14,349","2,067,558",,,
130,MAYFAIR INSURANCE COMPANY LTD,"9,396","215,628,954,386",,"31,004","893,665,650,180",,2016,"2,233,714","68,337","1,134,667","1,167,385","422,697",0,"456,003",0,"1,134,079","522,538","68,792","306,248","236,501",0,"236,501",0,"23,130","10,661","12,270",669,"14,749","156,802","87,870",0,"3,186","13,622","65,104",0,413,"388,477","600,000",0,"338,186",0.0,"884,909",0,"1,823,095","1,700,004",0.0,0,"472,553","3,995,652","215,963","434,974","84,189","430,268",0,"335,194","111,380",0,0.0,"164,948","549,192",0.0,0.0,"11,539",0,"1,039,416","69,776","427,082",0,"103,872","17,859","3,995,652",104,"36,882","20,439","82,181","19,864","71,674","248,485","236,993",0,"9,313","40,484","344,019",0,"23,642","1,134,079",-39,"26,998","10,071","5,374","5,630","14,898","122,801","128,821",0,"4,754","15,599","194,320",0,"-6,689","522,538",,,
131,OCCIDENTAL INSURANCE COMPANY LTD,"9,867","91,380,302,770",,"21,130","336,666,750,684",,2016,"2,038,448","-5,358","652,274","1,380,816","560,137",0,"462,599",0,"1,478,354","1,060,372","133,674","267,974","16,334","210,824","227,158",0,"21,073","36,249","33,721",201,"29,112","204,875","249,291","1,891","5,321","29,289","149,764",0,"12,326","773,113","693,000",0,"-9,185",0.0,"340,918","30,000","1,054,734","1,574,184",0.0,0,"248,586","2,877,504",0,"491,000","39,291","1,056,675",0,0,"11,183",0,0.0,"95,961","100,825",0.0,0.0,0,0,"171,000","67,174","671,370","37,335","33,842","101,848","2,877,504",0,"23,089","35,378","57,238","3,147","78,848","372,259","477,103",0,"10,773","63,068","345,374",0,"12,076","1,478,354",0,"19,093","47,544","26,934",630,"37,560","248,611","232,211","2,178","9,840","30,301","379,718",0,"25,751","1,060,372",,,
132,PACIS INSURANCE COMPANY LTD,"11,074","28,167,594,516",,"28,469","186,852,410,806",,2016,"1,042,138",0,"199,546","842,592","348,052",0,"349,912",0,"840,732","354,347","98,087","434,375","-46,076","82,513","36,437",0,"3,241","1,922","8,462","1,015",67,"182,819","94,441",0,"1,951","6,232","11,605","28,200",68,"340,023","503,000","17,712",0,0.0,"389,461",0,"910,173","957,809",0.0,0,"186,250","2,054,233","113,850","730,000","36,915","156,955",0,0,0,0,0.0,"1,182","1,020",0.0,0.0,0,0,"28,101","216,534","588,693",0,"109,259","71,723","2,054,233",0,"6,314","10,306","-2,716","16,333","1,187","314,615","303,461",0,"48,124","27,175","62,130","52,554","1,250","840,732",0,"-3,226","1,794","16,541","6,612",581,"192,307","83,914",0,"-1,127","11,987","18,083","26,796",86,"354,347",,,
133,PHOENIX OF EAST AFRICA ASSURANCE COMPANY,135,"70,837,014,849",,280,"83,962,578,880",,2016,"374,810","63,916","202,601","236,125","121,669",0,"104,229",0,"253,565","333,654","30,144","304,337","-414,570","152,524","-262,046","-8,843","2,587","3,453","9,357","15,202","1,623","81,551","48,366",0,"3,709","18,582","18,168",0,"-14,749","179,006","300,000",0,"52,489",0.0,"710,315",0,"1,062,804","416,135",0.0,0,"78,979","1,557,918",0,0,"33,021","517,500",0,"143,807",0,0,0.0,"159,125",0,0.0,0.0,"3,903",0,"51,021","18,470","324,044","84,005","183,757","39,264","1,557,918","4,017","10,031","7,716","14,033","8,543","8,081","102,166","47,902",0,"5,801","4,904","29,288",0,"11,083","253,565","52,414",333,"4,589",-169,"64,423","3,132","84,058","78,343",0,"3,115","18,663","-9,686",0,"34,440","333,654",,,
134,PIONEER INSURANCE COMPANY LTD,0,0,,0,0,,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"600,000",0,0,0.0,29,"30,000","630,029",0,0.0,0,"22,538","652,567",0,0,0,"30,000",0,0,0,0,0.0,0,0,0.0,0.0,0,0,"600,000",0,0,"22,567",0,0,"652,567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
135,RESOLUTION INSURANCE COMPANY,"8,629","128,115,933,957",,"14,664","299,308,977,071",,2016,"3,889,916","36,195","2,589,929","1,336,182","522,879","34,855","661,858","79,575","1,152,484","867,268","-135,989","1,049,347","-628,142","65,089","-563,054",0,0,693,0,20,0,"27,126","15,435",0,299,515,"4,857","839,231",203,"888,377","410,000","990,000","-8,010",0.0,"-904,077",0,"487,913","1,017,384",0.0,0,"2,964,993","4,470,290",0,0,"145,578","372,559",0,0,0,0,0.0,0,0,0.0,0.0,0,0,"569,340","29,344","2,232,994","506,855","334,076","279,544","4,470,290",0,0,528,719,"18,958",0,"2,355","2,689",0,"41,755","1,979","23,338","1,053,519","6,644","1,152,484",0,0,281,"6,992",323,0,"35,440","28,739",0,"1,521",575,"9,786","782,313","1,297","867,268",,,
